"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_prepaid_insurance_-_vehicle_-_penjualan_unit;Prepaid Insurance - Vehicle - Penjualan Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080201";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_administrasi_unit;Prepaid Insurance - Vehicle - Administrasi Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080202";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_penjualan_service;Prepaid Insurance - Vehicle - Penjualan Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080203";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_administrasi_service;Prepaid Insurance - Vehicle - Administrasi Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080204";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_accounting;Prepaid Insurance - Vehicle - Accounting;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080205";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_finance;Prepaid Insurance - Vehicle - Finance;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080206";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_collection;Prepaid Insurance - Vehicle - Collection;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080207";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_hr;Prepaid Insurance - Vehicle - HR;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080208";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_legal;Prepaid Insurance - Vehicle - Legal;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080209";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_internal_audit;Prepaid Insurance - Vehicle - Internal Audit;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080210";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_it;Prepaid Insurance - Vehicle - IT;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080211";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_bod;Prepaid Insurance - Vehicle - BOD;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080212";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_vehicle;Prepaid Insurance - Vehicle - Vehicle;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080213";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_budget;Prepaid Insurance - Vehicle - Budget;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080214";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_tax;Prepaid Insurance - Vehicle - Tax;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080215";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_marketing_ho;Prepaid Insurance - Vehicle - Marketing HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080216";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_corpcom_&_customer_relation;Prepaid Insurance - Vehicle - Corpcom & Customer Relation;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080217";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_mpd;Prepaid Insurance - Vehicle - MPD;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080218";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_ga_ho;Prepaid Insurance - Vehicle - GA HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080219";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_vehicle_-_secretary;Prepaid Insurance - Vehicle - Secretary;AssetCode|PI;prepaid;false;Journal Depreciation;"115302";"115302";"60080220";number;36;1;linear;true;true;true;
